"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","0402_C","9.525mm","8.382mm","9.525mm","8.382mm","9.525mm","8.807mm","T","270.00","100nF (104) 10% 16V"
"C2","0402_C","10.851mm","23.749mm","10.851mm","23.749mm","10.426mm","23.749mm","T","360.00","100nF (104) 10% 16V"
"C3","0402_C","22.733mm","23.114mm","22.733mm","23.114mm","22.733mm","23.539mm","T","270.00","100nF (104) 10% 16V"
"C4","0402_C","28.6283mm","17.2187mm","28.6283mm","17.2187mm","28.6283mm","17.7267mm","T","270.00","100nF"
"C5","0402_C","25.71mm","20.828mm","25.71mm","20.828mm","26.218mm","20.828mm","T","180.00","100nF"
"C7","0402_C","31.425mm","26.035mm","31.425mm","26.035mm","31.425mm","25.527mm","T","90.00","100nF"
"C9","0402_C","37.846mm","18.796mm","37.846mm","18.796mm","37.846mm","18.288mm","T","90.00","12pF ㊣1%"
"C10","0402_C","34.29mm","19.812mm","34.29mm","19.812mm","34.29mm","19.304mm","T","90.00","1.2pF ㊣0.1pF"
"C11","0402_C","36.703mm","19.812mm","36.703mm","19.812mm","36.703mm","20.32mm","T","270.00","1.2pF ㊣0.1pF"
"C12","c0603","25.837mm","22.479mm","25.837mm","22.479mm","26.637mm","22.479mm","T","180.00","10uF"
"C13","0402_C","25.71mm","19.558mm","25.71mm","19.558mm","26.218mm","19.558mm","T","180.00","100nF"
"C14","0402_C","29.8983mm","17.2187mm","29.8983mm","17.2187mm","29.8983mm","17.7267mm","T","270.00","100nF"
"C15","0402_C","34.3433mm","17.2187mm","34.3433mm","17.2187mm","34.3433mm","17.7267mm","T","270.00","100nF"
"C16","0402_C","37.846mm","16.764mm","37.846mm","16.764mm","37.846mm","16.256mm","T","90.00","1.2pF ㊣0.1pF"
"C17","0402_C","30.155mm","26.035mm","30.155mm","26.035mm","30.155mm","25.527mm","T","90.00","1uF"
"C20","0402_C","36.632mm","23.114mm","36.632mm","23.114mm","36.632mm","23.622mm","T","270.00","12pF ㊣1%"
"C21","0402_C","36.632mm","25.146mm","36.632mm","25.146mm","36.632mm","24.638mm","T","90.00","12pF ㊣1%"
"C22","0402_C","24.765mm","11.811mm","24.765mm","11.811mm","24.34mm","11.811mm","T","360.00","100nF (104) 10% 16V"
"C23","0603_C","23.876mm","1.27mm","23.876mm","1.27mm","24.646mm","1.27mm","T","180.00","4.7uF (475) 10% 16V"
"C24","0603_C","24.313mm","6.604mm","24.313mm","6.604mm","23.543mm","6.604mm","T","360.00","4.7uF (475) 10% 16V"
"C25","0402_C","19.106mm","8.001mm","19.106mm","8.001mm","19.106mm","8.426mm","T","270.00","100nF (104) 10% 16V"
"C26","0402_C","13.391mm","4.826mm","13.391mm","4.826mm","13.816mm","4.826mm","T","180.00","30pF (300) 5% 50V"
"C27","0402_C","15.804mm","4.826mm","15.804mm","4.826mm","15.379mm","4.826mm","T","360.00","30pF (300) 5% 50V"
"C28","0402_C","29.393mm","12.827mm","29.393mm","12.827mm","29.393mm","12.402mm","T","90.00","33nF (333) 20% 50V"
"C29","0402_C","32.441mm","12.827mm","32.441mm","12.827mm","32.441mm","13.252mm","T","270.00","10nF (103) 10% 50V"
"C30","0402_C","33.711mm","12.827mm","33.711mm","12.827mm","33.711mm","13.252mm","T","270.00","1nF (102) 10% 50V"
"C31","0402_C","37.465mm","7.366mm","37.465mm","7.366mm","37.465mm","7.791mm","T","270.00","1.5pF (1R5) 0.25pF 50V"
"C32","0402_C","37.465mm","5.334mm","37.465mm","5.334mm","37.465mm","4.909mm","T","90.00","1pF (1R0) 0.25pF 50V"
"C33","0402_C","35.052mm","6.35mm","35.052mm","6.35mm","35.052mm","5.925mm","T","90.00","2.2nF (222) 10% 50V"
"C34","0402_C","36.195mm","5.334mm","36.195mm","5.334mm","36.195mm","4.909mm","T","90.00","4.7pF (4R7) 0.25pF 50V"
"C35","0402_C","31.623mm","1.143mm","31.623mm","1.143mm","31.198mm","1.143mm","T","360.00","22pF (220) 5% 50V"
"C36","0402_C","35.306mm","2.794mm","35.306mm","2.794mm","35.306mm","2.369mm","T","90.00","22pF (220) 5% 50V"
"FB1","L0603","26.599mm","26.416mm","26.599mm","26.416mm","27.399mm","26.416mm","T","180.00","FB120R"
"FB2","L0603","30.917mm","13.462mm","30.917mm","13.462mm","30.917mm","12.662mm","T","90.00","FB120R"
"L1","LC-0402_L","34.727mm","21.336mm","34.727mm","21.336mm","35.152mm","21.336mm","T","180.00","15nH ㊣5%"
"L2","LC-0402_L","35.433mm","19.812mm","35.433mm","19.812mm","35.433mm","19.387mm","T","90.00","2nH ㊣0.3nH"
"L3","L0805","25.837mm","24.384mm","25.837mm","24.384mm","24.737mm","24.384mm","T","0.00","10uH ㊣20% 1A"
"L4","0402_L","36.632mm","8.89mm","36.632mm","8.89mm","36.207mm","8.89mm","T","0.00","3.9nH 3%"
"L5","0402_L","35.052mm","8.382mm","35.052mm","8.382mm","35.052mm","8.807mm","T","270.00","8.2nH 5%"
"L6","0402_L","36.251mm","7.366mm","36.251mm","7.366mm","36.251mm","7.791mm","T","270.00","2.7nH 0.3nH"
"P1","PH_7PIN_1.25_H-2","15.677mm","1.524mm","15.677mm","1.524mm","19.427mm","1.524mm","T","180.00","CON7-1.27"
"P2","PH_7PIN_1.25_H-2","16.312mm","25.781mm","16.312mm","25.781mm","20.062mm","25.781mm","T","180.00","CON7-1.27"
"P3","PH_RF_2.5X2.5","40.392mm","17.399mm","40.767mm","17.399mm","40.767mm","15.899mm","T","90.00","CONN_SMA_RF_3PIN"
"P4","PH_RF_2.5X2.5","40.265mm","6.604mm","40.64mm","6.604mm","40.64mm","5.104mm","T","90.00","CONN_SMA_RF_3PIN"
"R1","0402_R","19.106mm","5.842mm","19.106mm","5.842mm","19.106mm","6.267mm","T","270.00","10K次 (1002) ㊣1%"
"R2","0402_R","10.724mm","6.223mm","10.724mm","6.223mm","10.724mm","6.648mm","T","270.00","10K次 (1002) ㊣1%"
"R3","0402_R","20.376mm","5.842mm","20.376mm","5.842mm","20.376mm","6.267mm","T","270.00","10K次 (1002) ㊣1%"
"R4","0402_R","25.71mm","18.288mm","25.71mm","18.288mm","25.285mm","18.288mm","T","0.00","100k"
"R5","0402_R","36.703mm","17.78mm","36.703mm","17.78mm","36.703mm","17.355mm","T","90.00","0R"
"R6","0402_R","34.981mm","12.827mm","34.981mm","12.827mm","34.981mm","12.402mm","T","90.00","22K次 (2202) ㊣1%"
"R7","0402_R","33.655mm","1.143mm","33.655mm","1.143mm","33.23mm","1.143mm","T","360.00","1M次 (1004) ㊣1%"
"U1","LQFP64","16.693mm","16.383mm","16.693mm","16.383mm","12.9249mm","10.4384mm","T","90.00","STM32L152RCT6"
"U2","VQFN-32_4x4x04P","30.409mm","21.717mm","30.409mm","21.717mm","32.539mm","20.317mm","T","90.00","CC2640R2FRSM"
"U3","QFN-20_4X4X05P","31.298mm","8.636mm","31.298mm","8.636mm","29.348mm","9.636mm","T","270.00","NRF24L01"
"VR1","SOT-23-3L","23.749mm","3.937mm","23.749mm","3.937mm","25.224mm","2.987mm","T","360.00","XC6206P332MR"
"X1","SMD-3225_4P","32.385mm","3.556mm","32.385mm","3.556mm","31.285mm","2.756mm","T","360.00","16MHZ 9PF 10PPM"
"X3","FC-135","34.727mm","24.13mm","34.727mm","24.13mm","34.727mm","25.38mm","T","270.00","FC-135 32.768KHZ 9PF 20PPM"
"Y1","SMD-5032_2P","14.915mm","7.366mm","14.915mm","7.366mm","12.865mm","7.366mm","T","360.00","8MHz ㊣20ppm 20pF"
"FPC1","FPC-0.5MM-36P-LCS-SJ-H2.0","5.588mm","14.351mm","5.588mm","14.351mm","6.7367mm","5.602mm","T","90.00","AFC07-S36ECC-00"
"X4","FA-128","32.1473mm","17.0317mm","31.4223mm","16.4567mm","31.4223mm","16.4567mm","T","0.00","FA-128 24MHz 8pF ㊣10ppm"
"C6","0402_C","20.32mm","8.001mm","20.32mm","8.001mm","20.32mm","7.576mm","T","90.00","100nF (104) 10% 16V"
"Q2","sot-23","27.686mm","4.064mm","27.686mm","4.064mm","26.736mm","2.864mm","T","360.00","LBSS84LT1G"
"R20","0402_R","27.686mm","1.143mm","27.686mm","1.143mm","27.261mm","1.143mm","T","0.00","43k"
"R21","0402_R","24.765mm","8.509mm","24.765mm","8.509mm","24.34mm","8.509mm","T","0.00","43k"
"R29","0402_R","26.543mm","9.906mm","26.543mm","9.906mm","26.543mm","9.481mm","T","90.00","1k"
"R31","0402_R","24.765mm","9.779mm","24.765mm","9.779mm","24.34mm","9.779mm","T","0.00","22k"
"R8","0402_R","10.795mm","8.382mm","10.795mm","8.382mm","10.795mm","7.957mm","T","90.00","1k"

